n,m,blockSize,rowReducedCPU,rowReducedGPU,colReducedCPU,colReducedGPU,rowError,colError,timeRowCPU_us,timeColCPU_us,timeRedCPU_us,timeRowGPU_ms,timeColGPU_ms,timeRedGPU_ms,rowSpeedup,colSpeedup,redSpeedup
1000,1000,4,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,773,6474,2,2.47696,2.22384,4.33027,0.312076,2.91118,0.000461865
1000,1000,8,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,779,6427,2,2.07862,2.1055,4.20182,0.374767,3.05248,0.000475984
1000,1000,16,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,792,6413,1,2.07645,2.09952,4.20992,0.381421,3.05451,0.000237534
1000,1000,32,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,770,6430,2,2.0799,2.10061,4.20237,0.370209,3.06102,0.000475922
1000,1000,64,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,770,6412,2,2.0785,2.10061,4.20902,0.37046,3.05245,0.00047517
1000,1000,128,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,770,6413,2,2.07731,2.10061,4.20499,0.370671,3.05293,0.000475625
1000,1000,256,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,790,6502,2,2.51914,2.50186,4.2008,0.3136,2.59887,0.0004761
1000,1000,512,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,771,6434,2,3.80822,3.44771,4.20029,0.202457,1.86617,0.000476158
1000,1000,1024,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,770,6412,2,6.74304,5.82582,4.19936,0.114192,1.10062,0.000476263
5000,5000,4,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19966,231989,10,72.1341,71.8148,20.6475,0.27679,3.23038,0.00048432
5000,5000,8,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19877,232214,9,29.899,29.3395,16.0409,0.664805,7.91472,0.000561067
5000,5000,16,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19916,232864,9,10.2953,10.2959,15.8363,1.93447,22.6171,0.000568314
5000,5000,32,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19878,232255,9,10.3022,10.3072,20.5916,1.92948,22.5333,0.000437072
5000,5000,64,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19841,232464,10,10.3126,10.2958,20.5846,1.92395,22.5785,0.000485801
5000,5000,128,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19895,232070,10,10.2797,10.2936,20.5851,1.93537,22.5451,0.000485789
5000,5000,256,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19874,232137,9,13.4308,12.6565,20.5852,1.47974,18.3413,0.000437207
5000,5000,512,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19891,232698,10,19.1129,17.9796,20.5864,1.04071,12.9423,0.000485758
5000,5000,1024,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19906,232724,10,34.7132,30.2565,20.6575,0.573443,7.69169,0.000484085
10000,10000,4,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,79857,1.0735e+06,19,315.517,308.507,31.996,0.253099,3.47968,0.000593825
10000,10000,8,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,79839,1.0754e+06,19,150.088,131.273,31.9878,0.531947,8.19211,0.000593977
10000,10000,16,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,79738,1.07365e+06,20,79.7255,59.926,31.9339,1.00016,17.9163,0.000626295
10000,10000,32,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,79694,1.07455e+06,19,28.9673,26.2776,41.0657,2.75117,40.8921,0.000462673
10000,10000,64,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,80005,1.0737e+06,19,30.7798,27.9938,41.0677,2.59927,38.3552,0.000462651
10000,10000,128,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,79783,1.07438e+06,19,31.4213,28.7964,41.0666,2.53913,37.3095,0.000462664
10000,10000,256,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,80062,1.07344e+06,20,32.5299,29.4477,41.0685,2.46118,36.4525,0.000486991
10000,10000,512,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,79679,1.17791e+06,23,44.11,38.8129,41.0871,1.80637,30.3484,0.000559787
10000,10000,1024,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,80108,1.07456e+06,19,71.2257,52.9046,31.9325,1.12471,20.3112,0.000595005
25000,25000,4,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,500278,9.35364e+06,47,1977.76,1957.64,80.1716,0.252952,4.77802,0.000586242
25000,25000,8,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,605087,1.00237e+07,48,1021.16,883.678,80.1388,0.592547,11.3432,0.000598961
25000,25000,16,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,500318,9.39638e+06,46,617.315,458.197,80.1379,0.810475,20.5073,0.000574011
25000,25000,32,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,517986,9.53337e+06,48,472.028,294.003,80.1239,1.09736,32.4261,0.000599072
25000,25000,64,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,500509,1.03436e+07,47,446.991,301.775,80.0854,1.11973,34.2759,0.000586873
25000,25000,128,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,500536,9.60077e+06,48,457.752,305.105,80.0943,1.09346,31.4671,0.000599294
25000,25000,256,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,500488,1.03224e+07,47,464.139,309.547,80.0821,1.07832,33.3467,0.000586898
25000,25000,512,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,499772,9.70655e+06,48,480.465,324.025,80.1003,1.04018,29.9562,0.000599249
