n,m,blockSize,rowReducedCPU,rowReducedGPU,colReducedCPU,colReducedGPU,rowError,colError,timeRowCPU_us,timeColCPU_us,timeRowRedCPU_us,timeColRedCPU_us,timeRowGPU_ms,timeColGPU_ms,timeRowRedGPU_ms,timeColRedGPU_ms,rowSpeedup,colSpeedup,rowRedSpeedup,colRedSpeedup
1000,1000,4,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,772,6575,1,1,2.49491,2.23491,2.232,2.10624,0.30943,2.94195,0.000448029,0.00047478
1000,1000,8,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,771,6411,1,1,2.07533,2.10371,2.10307,2.10026,0.371508,3.04747,0.000475495,0.000476132
1000,1000,16,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,794,6626,1,1,2.07347,2.10288,2.10502,2.10099,0.382933,3.15092,0.000475054,0.000475966
1000,1000,32,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,768,6515,1,1,2.07955,2.10064,2.10589,2.1007,0.36931,3.10144,0.000474859,0.000476031
1000,1000,64,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,768,6515,1,1,2.07568,2.10266,2.10275,2.10122,0.369999,3.09846,0.000475567,0.000475915
1000,1000,128,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,805,6676,1,1,2.07888,2.10675,2.10102,2.10112,0.387228,3.16886,0.000475958,0.000475937
1000,1000,256,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,770,6414,1,1,2.51094,2.11046,2.10912,2.09955,0.306658,3.03914,0.000474131,0.000476292
1000,1000,512,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,771,6514,1,1,3.81392,3.41411,2.10816,2.11258,0.202154,1.90796,0.000474347,0.000473356
1000,1000,1024,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,769,6409,1,1,6.88634,5.90765,2.10064,2.10131,0.11167,1.08486,0.000476045,0.000475893
5000,5000,4,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19975,233421,5,4,72.9118,72.5211,10.3011,10.2956,0.273961,3.21867,0.000485386,0.000388516
5000,5000,8,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,20222,234233,5,5,30.1908,28.24,10.2943,5.74362,0.669808,8.29437,0.000485704,0.000870532
5000,5000,16,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19841,233278,5,5,10.2896,10.2978,10.2924,5.53626,1.92825,22.6533,0.000485795,0.000903137
5000,5000,32,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,20377,233879,5,5,10.27,10.3065,10.2964,5.54781,1.98412,22.6925,0.000485609,0.000901257
5000,5000,64,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19847,233731,5,5,10.2694,10.317,10.303,5.54954,1.93264,22.655,0.000485295,0.000900976
5000,5000,128,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19847,232959,5,5,10.2968,10.3076,10.2931,10.2948,1.9275,22.6007,0.000485763,0.000485683
5000,5000,256,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,20028,233745,5,5,12.6692,13.0778,10.2997,10.2959,1.58085,17.8735,0.00048545,0.000485629
5000,5000,512,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19988,233643,5,5,19.2298,18.0405,10.2945,10.2945,1.03943,12.951,0.000485695,0.000485698
5000,5000,1024,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,19915,232649,5,5,35.0696,30.367,10.2955,10.2933,0.567871,7.66125,0.000485651,0.000485754
10000,10000,4,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,80389,1.09817e+06,11,10,320.921,309.826,20.594,11.5494,0.250495,3.54448,0.000534137,0.000865845
10000,10000,8,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,80127,1.08482e+06,10,10,144.739,130.704,20.5469,11.5056,0.553596,8.29987,0.000486691,0.000869144
10000,10000,16,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,80789,1.09744e+06,10,10,160.03,122.704,43.6326,27.6112,0.504835,8.94388,0.000229186,0.000362172
10000,10000,32,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,80511,1.09215e+06,10,10,54.0634,55.7688,43.6271,27.5979,1.4892,19.5835,0.000229215,0.000362347
10000,10000,64,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,80496,1.09272e+06,10,9,61.1985,57.1758,43.6392,27.6207,1.31533,19.1116,0.000229152,0.000325842
10000,10000,128,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,80875,1.08427e+06,10,9,31.7454,29.6271,20.5355,11.5677,2.54762,36.5972,0.000486961,0.00077803
10000,10000,256,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,80496,1.08466e+06,10,9,32.1941,30.5267,20.5357,14.7945,2.50033,35.5317,0.000486956,0.000608336
10000,10000,512,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,79816,1.08465e+06,10,10,44.0898,38.9217,20.5339,17.0485,1.8103,27.8675,0.000486999,0.000586563
10000,10000,1024,9.99997e+08,9.99997e+08,1e+09,1e+09,0,0,80186,1.08482e+06,10,9,72.2646,58.9647,20.5497,11.5606,1.10962,18.3978,0.000486624,0.000778504
25000,25000,4,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,503245,9.28812e+06,24,24,1979.85,1976.21,51.3209,28.8642,0.254183,4.69997,0.000467645,0.00083148
25000,25000,8,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,501621,9.352e+06,24,23,1018.05,887.143,51.318,28.8674,0.492727,10.5417,0.000467672,0.000796746
25000,25000,16,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,501246,9.3277e+06,24,23,611.466,460.962,51.3129,28.8444,0.819745,20.2353,0.000467719,0.000797381
25000,25000,32,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,500949,9.22072e+06,24,23,471.285,300.38,51.3123,28.8408,1.06294,30.6968,0.000467724,0.000797482
25000,25000,64,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,500766,9.1486e+06,24,23,451.236,302.42,51.2977,28.8375,1.10977,30.2513,0.000467858,0.000797573
25000,25000,128,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,507513,9.15944e+06,24,24,455.282,300.805,51.2849,28.8309,1.11472,30.4498,0.000467974,0.00083244
25000,25000,256,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,506318,9.26802e+06,24,23,995.208,662.921,109.135,63.444,0.508756,13.9806,0.000219912,0.000362524
25000,25000,512,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,504888,9.25363e+06,24,23,1039.76,693.287,109.177,63.4412,0.485582,13.3475,0.000219827,0.00036254
25000,25000,1024,6.25026e+09,6.25026e+09,6.25021e+09,6.25021e+09,0,0,501035,9.22617e+06,24,24,569.765,356.365,51.3059,28.8285,0.879371,25.8897,0.000467782,0.000832509
