n,m,blockSize,rowReducedCPU,rowReducedGPU,colReducedCPU,colReducedGPU,rowError,colError,timeRowCPU_us,timeColCPU_us,timeRowRedCPU_us,timeColRedCPU_us,timeRowGPU_ms,timeColGPU_ms,timeRowRedGPU_ms,timeColRedGPU_ms,rowSpeedup,colSpeedup,redSpeedup
1000,1000,4,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,877,7246,1,1,12.1824,8.96,8.96755,5.84778,0.0719893,0.808705,0.000134995
1000,1000,8,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,795,7093,2,1,5.7872,4.35526,4.35389,5.84637,0.137372,1.6286,0.00029411
1000,1000,16,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,827,7139,2,1,6.01075,4.35542,4.35558,5.84474,0.137587,1.63911,0.000294108
1000,1000,32,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,820,7165,1,1,5.86189,4.35574,4.35747,5.84819,0.139887,1.64495,0.00019597
1000,1000,64,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,845,7089,2,1,5.88381,4.35526,4.35552,5.83882,0.143614,1.62769,0.000294281
1000,1000,128,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,827,7155,6,1,5.83709,4.35533,4.35555,5.84669,0.14168,1.64282,0.000686124
1000,1000,256,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,795,7106,1,1,8.33718,4.35808,4.35446,5.83053,0.0953559,1.63053,0.000196367
1000,1000,512,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,850,7064,1,1,9.49741,7.72278,4.35546,5.84755,0.0894981,0.914696,0.000196021
1000,1000,1024,9.99985e+06,9.99985e+06,9.99985e+06,9.99985e+06,0,0,841,7091,1,1,14.1367,11.8758,4.35437,5.8465,0.0594904,0.597096,0.000196062
5000,5000,4,2.49969e+08,2.49969e+08,2.49969e+08,2.49969e+08,0,0,20381,270554,5,5,149.442,149.489,21.8176,18.1399,0.136381,1.80985,0.000250266
