Size,BlockX,BlockY,CPU_Time_ms,GPU_Time_ms,Speedup,Max_Diff
512,8,8,6967.084961,20.897057,333.400299,0.000003
512,16,8,6950.700684,16.175585,429.703217,0.000003
512,8,16,6957.524902,19.911297,349.425995,0.000003
512,16,16,7031.773438,27.735392,253.530701,0.000003
512,32,8,8288.533203,16.345535,507.082397,0.000003
512,8,32,7624.628418,21.291552,358.105804,0.000003
512,32,16,8414.626953,24.843616,338.703796,0.000003
512,16,32,7170.771973,24.129215,297.182159,0.000003
512,32,32,8802.320312,18.967936,464.063171,0.000003
1024,8,8,29380.568359,55.561024,528.798157,0.000005
1024,16,8,27902.162109,52.894497,527.505981,0.000005
1024,8,16,28775.744141,56.364735,510.527435,0.000005
1024,16,16,27883.908203,51.550369,540.906067,0.000005
1024,32,8,27883.587891,52.814690,527.951355,0.000005
1024,8,32,28342.408203,57.728447,490.960876,0.000005
1024,32,16,27940.884766,55.685986,501.757935,0.000005
1024,16,32,28375.628906,52.057697,545.080383,0.000005
1024,32,32,28545.308594,52.227104,546.561218,0.000005
2048,8,8,111478.406250,185.647812,600.483276,0.000006
2048,16,8,113258.523438,186.639038,606.831909,0.000006
2048,8,16,114862.453125,195.265244,588.238098,0.000006
2048,16,16,112107.609375,185.148666,605.500488,0.000006
2048,32,8,114554.250000,186.725403,613.490417,0.000006
2048,8,32,111776.750000,195.234650,572.525146,0.000006
2048,32,16,113250.859375,186.032761,608.768372,0.000006
2048,16,32,134257.000000,197.395493,680.142151,0.000006
2048,32,32,116515.296875,190.928802,610.255188,0.000006
4096,8,8,447254.562500,366.469910,1220.440063,0.000007
4096,16,8,447479.343750,327.261658,1367.344238,0.000007
4096,8,16,449786.250000,367.051666,1225.403076,0.000007
4096,16,16,446155.562500,328.437927,1358.416748,0.000007
4096,32,8,449960.656250,331.904968,1355.691284,0.000007
4096,8,32,448216.750000,337.998535,1326.090820,0.000007
4096,32,16,446119.125000,339.816681,1312.822876,0.000007
4096,16,32,445703.875000,342.460632,1301.474731,0.000007
4096,32,32,456450.312500,349.787872,1304.934692,0.000007
8192,8,8,1781164.375000,3044.367432,585.068787,0.000038
8192,16,8,1770753.750000,1261.746704,1403.414551,0.000038
8192,8,16,1771384.000000,1336.607178,1325.283936,0.000038
8192,16,16,1770784.500000,1276.140259,1387.609619,0.000038
8192,32,8,1773779.375000,1270.065796,1396.604370,0.000038
8192,8,32,1770333.625000,1382.036987,1280.959717,0.000038
8192,32,16,1771729.000000,1288.123413,1375.434204,0.000038
8192,16,32,1770963.125000,1294.968628,1367.572266,0.000038
8192,32,32,1772090.625000,1327.130737,1335.279663,0.000038
15360,8,8,6250615.000000,4958.358887,1260.621704,0.000082
15360,16,8,6371497.500000,4695.300293,1356.994629,0.000082
15360,8,16,6283994.000000,5228.951172,1201.769531,0.000082
15360,16,16,6257672.000000,5051.202637,1238.847900,0.000082
