Size,BlockX,BlockY,CPU_Time_ms,GPU_Time_ms,Speedup,Max_Diff
512,8,8,6979.729004,21.015327,332.125641,0.000003
512,16,8,6978.254883,15.844864,440.411163,0.000003
512,8,16,6985.717285,20.940128,333.604309,0.000003
512,16,16,7002.060547,15.545088,450.435577,0.000003
512,32,8,7125.124512,15.940640,446.978546,0.000003
512,8,32,6987.668945,21.526880,324.602020,0.000003
512,32,16,6981.809570,16.542273,422.058685,0.000003
512,16,32,6981.423828,17.316511,403.165741,0.000003
1024,8,8,28026.041016,56.339134,497.452454,0.000005
1024,16,8,28138.759766,50.839008,553.487610,0.000005
1024,8,16,29218.138672,56.652256,515.745361,0.000005
1024,16,16,28036.394531,53.261600,526.390381,0.000005
1024,32,8,28204.746094,52.079071,541.575439,0.000005
1024,8,32,28022.066406,56.219681,498.438721,0.000005
1024,32,16,29864.859375,55.492161,538.181580,0.000005
1024,16,32,28012.835938,53.774273,520.933777,0.000005
2048,8,8,112876.476562,194.728806,579.659912,0.000006
2048,16,8,116314.796875,186.487289,623.714355,0.000006
2048,8,16,112806.445312,196.299591,574.664673,0.000006
2048,16,16,114528.476562,185.699646,616.740417,0.000006
2048,32,8,113523.960938,185.236450,612.859741,0.000006
2048,8,32,111916.484375,199.369476,561.352173,0.000006
2048,32,16,113066.593750,185.164551,610.627625,0.000006
2048,16,32,111874.507812,186.876602,598.654419,0.000006
4096,8,8,449517.812500,755.043335,595.353638,0.000007
4096,16,8,467636.687500,710.857666,657.848572,0.000007
4096,8,16,459519.218750,762.345581,602.770203,0.000007
4096,16,16,472354.218750,828.288818,570.277161,0.000007
4096,32,8,561335.062500,753.930298,744.545044,0.000007
4096,8,32,465815.375000,1229.186157,378.962433,0.000007
4096,32,16,481253.281250,719.461304,668.907776,0.000007
4096,16,32,535474.687500,806.829712,663.677429,0.000007
8192,8,8,2685112.750000,3128.250732,858.343201,0.000038
8192,16,8,2179798.250000,2768.486572,787.360962,0.000038
8192,8,16,1889304.125000,3074.450684,614.517639,0.000038
8192,16,16,2041433.000000,4171.848145,489.335419,0.000038
8192,32,8,2239650.000000,2793.989746,801.595642,0.000038
8192,8,32,1787152.125000,3152.674316,566.868591,0.000038
8192,32,16,1790239.375000,2845.960205,629.045837,0.000038
8192,16,32,1788436.500000,2911.642090,614.236389,0.000038
